date,daily_occurrence,site,device_type
1/8/15,0,A2M,Archival
1/8/15,1,T2M,Archival
1/9/15,1,A7M,Archival
1/9/15,0,A2M,Archival
1/9/15,1,T2M,Archival
1/10/15,0,A7M,Archival
1/10/15,0,A2M,Archival
1/10/15,1,T2M,Archival
1/11/15,1,A7M,Archival
1/11/15,0,A2M,Archival
1/11/15,0,T2M,Archival
1/12/15,1,A7M,Archival
1/12/15,0,A2M,Archival
1/12/15,1,T2M,Archival
1/13/15,0,A7M,Archival
1/13/15,0,A2M,Archival
1/13/15,0,T2M,Archival
1/14/15,1,A7M,Archival
1/14/15,0,A2M,Archival
1/14/15,1,T2M,Archival
1/15/15,1,A7M,Archival
1/15/15,1,A2M,Archival
1/15/15,1,T2M,Archival
1/16/15,1,A7M,Archival
1/16/15,0,A2M,Archival
1/16/15,1,T2M,Archival
1/17/15,1,A7M,Archival
1/17/15,1,A2M,Archival
1/17/15,1,T2M,Archival
1/18/15,1,A7M,Archival
1/18/15,1,A2M,Archival
1/18/15,1,T2M,Archival
1/19/15,1,A7M,Archival
1/19/15,0,A2M,Archival
1/19/15,1,T2M,Archival
1/20/15,1,A7M,Archival
1/20/15,1,A2M,Archival
1/20/15,1,T2M,Archival
1/21/15,1,A7M,Archival
1/21/15,1,A2M,Archival
1/21/15,1,T2M,Archival
1/22/15,1,A7M,Archival
1/22/15,1,A2M,Archival
1/22/15,1,T2M,Archival
1/23/15,1,A7M,Archival
1/23/15,1,A2M,Archival
1/23/15,1,T2M,Archival
1/24/15,1,A7M,Archival
1/24/15,1,A2M,Archival
1/24/15,1,T2M,Archival
1/25/15,1,A7M,Archival
1/25/15,0,A2M,Archival
1/25/15,0,T2M,Archival
1/26/15,1,A7M,Archival
1/26/15,1,A2M,Archival
1/26/15,1,T2M,Archival
1/27/15,0,A7M,Archival
1/27/15,0,A2M,Archival
1/27/15,0,T2M,Archival
1/28/15,0,A7M,Archival
1/28/15,0,A2M,Archival
1/28/15,0,T2M,Archival
1/29/15,1,A7M,Archival
1/29/15,1,A2M,Archival
1/29/15,1,T2M,Archival
1/30/15,0,A7M,Archival
1/30/15,0,A2M,Archival
1/30/15,0,T2M,Archival
1/31/15,0,A7M,Archival
