"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2014-11-03,16.4925498962402,16.433837890625,32.9065475463867,-0.110582888126373,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-04,16.0243282318115,15.9270029067993,32.5592155456543,-0.356263011693954,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-05,16.3298854827881,15.8040990829468,32.3469429016113,-0.205422684550285,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-06,16.3402996063232,15.7760725021362,32.2989311218262,-0.0765907540917397,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-07,16.4564571380615,15.6833868026733,32.3380546569824,-0.129388049244881,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-08,15.6370048522949,15.5243759155273,32.5873832702637,-0.225771546363831,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-09,15.2807474136353,15.2008123397827,32.5318641662598,-0.200505435466766,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-10,15.2592573165894,15.2002649307251,32.5308723449707,-0.148500367999077,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-11,15.2432708740234,15.2463035583496,32.5549354553223,-0.0376884900033474,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-12,14.8901968002319,15.0722122192383,32.4768257141113,-0.0129382712766528,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-13,14.8472509384155,14.7933549880981,32.5156707763672,-0.021058714017272,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-14,14.7735891342163,14.7311973571777,32.6887321472168,-0.0474142879247665,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-15,14.276370048523,14.2285528182983,32.8496589660645,-0.18891604244709,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-16,14.0750799179077,14.0230255126953,32.8689117431641,-0.1957967877388,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-17,14.0574293136597,13.9522886276245,32.855712890625,-0.0323658101260662,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-18,13.8795347213745,13.8149862289429,32.800464630127,-0.240562319755554,21.4,23.1,83.3,5.3,16.3,13.5,24
2014-11-19,12.924952507019,12.8613815307617,32.6204299926758,-0.460240334272385,21.4,23.1,83.3,5.3,16.3,13.5,24
