date,bottom_temp,sst,sss,stratification,zeta,dist_shore_km,dist_OC_km,dist_200m_km,dist_MO_km,dist_RTWB_km,dist_NB_km,depth_m,datetime,daily_occurrence,site,device_type
11/3/14,16.4925499,16.43383789,32.90654755,-0.002446334,-0.110582888,21.4,23.1,83.3,5.3,16.3,13.5,24,11/3/14,0,A2M,Archival
11/4/14,16.02432823,15.92700291,32.55921555,-0.004055222,-0.356263012,21.4,23.1,83.3,5.3,16.3,13.5,24,11/4/14,0,A2M,Archival
11/5/14,16.32988548,15.80409908,32.3469429,-0.021907767,-0.205422685,21.4,23.1,83.3,5.3,16.3,13.5,24,11/5/14,0,A2M,Archival
11/6/14,16.34029961,15.7760725,32.29893112,-0.023509463,-0.076590754,21.4,23.1,83.3,5.3,16.3,13.5,24,11/6/14,0,A2M,Archival
11/7/14,16.45645714,15.6833868,32.33805466,-0.032211264,-0.129388049,21.4,23.1,83.3,5.3,16.3,13.5,24,11/7/14,0,A2M,Archival
11/8/14,15.63700485,15.52437592,32.58738327,-0.004692872,-0.225771546,21.4,23.1,83.3,5.3,16.3,13.5,24,11/8/14,0,A2M,Archival
11/9/14,15.28074741,15.20081234,32.53186417,-0.003330628,-0.200505435,21.4,23.1,83.3,5.3,16.3,13.5,24,11/9/14,0,A2M,Archival
11/10/14,15.25925732,15.20026493,32.53087234,-0.002458016,-0.148500368,21.4,23.1,83.3,5.3,16.3,13.5,24,11/10/14,0,A2M,Archival
11/11/14,15.24327087,15.24630356,32.55493546,0.000126362,-0.03768849,21.4,23.1,83.3,5.3,16.3,13.5,24,11/11/14,0,A2M,Archival
11/12/14,14.8901968,15.07221222,32.47682571,0.007583976,-0.012938271,21.4,23.1,83.3,5.3,16.3,13.5,24,11/12/14,0,A2M,Archival
11/13/14,14.84725094,14.79335499,32.51567078,-0.002245665,-0.021058714,21.4,23.1,83.3,5.3,16.3,13.5,24,11/13/14,0,A2M,Archival
11/14/14,14.77358913,14.73119736,32.68873215,-0.001766324,-0.047414288,21.4,23.1,83.3,5.3,16.3,13.5,24,11/14/14,0,A2M,Archival
11/15/14,14.27637005,14.22855282,32.84965897,-0.001992385,-0.188916042,21.4,23.1,83.3,5.3,16.3,13.5,24,11/15/14,0,A2M,Archival
11/16/14,14.07507992,14.02302551,32.86891174,-0.002168934,-0.195796788,21.4,23.1,83.3,5.3,16.3,13.5,24,11/16/14,1,A2M,Archival
11/17/14,14.05742931,13.95228863,32.85571289,-0.004380862,-0.03236581,21.4,23.1,83.3,5.3,16.3,13.5,24,11/17/14,0,A2M,Archival
11/18/14,13.87953472,13.81498623,32.80046463,-0.002689521,-0.24056232,21.4,23.1,83.3,5.3,16.3,13.5,24,11/18/14,0,A2M,Archival
11/19/14,12.92495251,12.86138153,32.62042999,-0.002648791,-0.460240334,21.4,23.1,83.3,5.3,16.3,13.5,24,11/19/14,0,A2M,Archival
11/20/14,12.75076008,12.71579742,32.69365311,-0.001456777,-0.326896489,21.4,23.1,83.3,5.3,16.3,13.5,24,11/20/14,0,A2M,Archival
11/21/14,12.32106495,12.29723835,32.670681,-0.000992775,-0.370037794,21.4,23.1,83.3,5.3,16.3,13.5,24,11/21/14,1,A2M,Archival
11/22/14,12.01072216,11.96282673,32.7273674,-0.001995643,-0.28600046,21.4,23.1,83.3,5.3,16.3,13.5,24,11/22/14,0,A2M,Archival
11/23/14,11.62566376,11.59489059,32.6627388,-0.001282215,-0.341394216,21.4,23.1,83.3,5.3,16.3,13.5,24,11/23/14,0,A2M,Archival
11/24/14,11.82083988,11.85510921,32.75384521,0.001427889,-0.079126649,21.4,23.1,83.3,5.3,16.3,13.5,24,11/24/14,0,A2M,Archival
11/25/14,12.48041916,11.81202984,32.66988373,-0.027849555,-0.081903458,21.4,23.1,83.3,5.3,16.3,13.5,24,11/25/14,1,A2M,Archival
11/26/14,12.4050951,11.80388165,32.69384384,-0.025050561,0.049722876,21.4,23.1,83.3,5.3,16.3,13.5,24,11/26/14,1,A2M,Archival
11/27/14,12.63719559,12.56090927,32.64952087,-0.003178596,0.094523512,21.4,23.1,83.3,5.3,16.3,13.5,24,11/27/14,0,A2M,Archival
11/28/14,12.2303648,12.16676044,32.57269669,-0.002650181,-0.139544204,21.4,23.1,83.3,5.3,16.3,13.5,24,11/28/14,0,A2M,Archival
11/29/14,11.88003063,11.81094074,32.54992294,-0.002878745,-0.119042434,21.4,23.1,83.3,5.3,16.3,13.5,24,11/29/14,0,A2M,Archival
11/30/14,12.23011208,11.92028713,32.59485245,-0.012909373,-0.599330544,21.4,23.1,83.3,5.3,16.3,13.5,24,11/30/14,0,A2M,Archival
12/1/14,12.17416,10.706604,32.45827866,-0.061148167,-0.160110161,21.4,23.1,83.3,5.3,16.3,13.5,24,12/1/14,1,A2M,Archival
12/2/14,11.73861313,10.9911623,32.63151932,-0.031143785,-0.079089634,21.4,23.1,83.3,5.3,16.3,13.5,24,12/2/14,0,A2M,Archival
12/3/14,11.74658966,11.69361591,32.79713058,-0.002207239,0.029161507,21.4,23.1,83.3,5.3,16.3,13.5,24,12/3/14,1,A2M,Archival
12/4/14,11.55383205,11.37957764,32.6469841,-0.007260601,-0.199337527,21.4,23.1,83.3,5.3,16.3,13.5,24,12/4/14,1,A2M,Archival
12/5/14,11.33845997,11.32437897,32.65818787,-0.000586708,-0.12811631,21.4,23.1,83.3,5.3,16.3,13.5,24,12/5/14,0,A2M,Archival
12/6/14,10.91016102,11.16014481,32.66716766,0.010415991,0.047938883,21.4,23.1,83.3,5.3,16.3,13.5,24,12/6/14,0,A2M,Archival
