Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,year,month,site,device_type,days_monitored,days_present,percent_occurrence,period,dist_200m_km
5/1/15,A7M,14.86978269,7.979955643,31.73641722,0.196851935,0.46301167,14.2478405,2015,May,A7M,Archival,31,1,3.225806452,1,67.9
5/1/15,T2M,14.79984982,8.120326119,32.05322967,0.185542325,0.46301167,14.24784946,2015,May,T2M,Archival,31,1,3.225806452,1,55.9
6/1/15,A2M,20.3953921,13.25415436,31.89645646,0.297551572,0.482489778,14.79286111,2015,Jun,A2M,Archival,30,2,6.666666667,1,83.3
6/1/15,A7M,20.67570782,11.52525784,32.11863219,0.261441,0.482489778,14.78528704,2015,Jun,A7M,Archival,30,2,6.666666667,1,67.9
6/1/15,T2M,20.90724685,10.57930317,32.42663625,0.286887324,0.482489778,14.78532407,2015,Jun,T2M,Archival,30,2,6.666666667,1,55.9
7/1/15,A2M,24.05200872,14.9044833,31.41428781,0.381146892,0.499057525,14.54007168,2015,Jul,A2M,Archival,31,1,3.225806452,1,83.3
7/1/15,A7M,24.43951933,12.79146514,31.56553527,0.332800968,0.499057525,14.53330645,2015,Jul,A7M,Archival,31,1,3.225806452,1,67.9
7/1/15,T2M,24.88061031,11.50365242,31.99800965,0.371582164,0.499057525,14.53327061,2015,Jul,T2M,Archival,31,1,3.225806452,1,55.9
8/1/15,A2M,25.24938973,17.98948781,32.56351935,0.302495913,0.514018814,13.77657005,2015,Aug,A2M,Archival,23,0,0,1,83.3
8/1/15,A7M,25.65510097,14.19760722,32.58145411,0.327357059,0.495577002,13.66501307,2015,Aug,A7M,Archival,31,0,0,1,67.9
8/1/15,T2M,25.84024734,12.09496436,32.41140056,0.381813416,0.495577002,13.66498366,2015,Aug,T2M,Archival,31,1,3.225806452,1,55.9
9/1/15,A2M,22.62704039,20.54606676,31.89132007,0.086707231,0.368434404,12.07618056,2015,Sep,A2M,Archival,12,0,0,1,83.3
9/1/15,A7M,23.90665902,15.52111283,32.25212579,0.239587083,0.483011193,12.38176698,2015,Sep,A7M,Archival,30,0,0,1,67.9
9/1/15,T2M,24.01908008,13.59038095,32.69559299,0.289686087,0.483011193,12.38177469,2015,Sep,T2M,Archival,30,0,0,1,55.9
10/1/15,A2M,18.37146999,18.5669101,32.14012558,-0.008143339,0.494406963,11.20554659,2015,Oct,A2M,Archival,31,1,3.225806452,1,83.3
10/1/15,A7M,18.59522438,18.54035728,32.75173101,0.001567419,0.494406963,11.20797491,2015,Oct,A7M,Archival,31,0,0,1,67.9
10/1/15,T2M,18.73127445,18.41833644,33.47858404,0.008692721,0.494406963,11.20796595,2015,Oct,T2M,Archival,31,0,0,1,55.9
11/1/15,A2M,15.54811141,15.9228399,32.64737485,-0.015613687,0.505808149,10.11591667,2015,Nov,A2M,Archival,30,6,20,1,83.3
11/1/15,A7M,16.0469909,16.5740703,33.04703064,-0.01506,0.505808149,10.12137037,2015,Nov,A7M,Archival,30,6,20,1,67.9
11/1/15,T2M,16.61256205,17.48956928,33.55364812,-0.024361312,0.505808149,10.12133333,2015,Nov,T2M,Archival,30,2,6.666666667,1,55.9
12/1/15,A2M,12.75147801,13.05892631,32.69371968,-0.012810346,0.52374538,9.543154122,2015,Dec,A2M,Archival,31,15,48.38709677,1,83.3
12/1/15,A7M,13.44917208,13.92769318,33.19281929,-0.013672581,0.52374538,9.550277778,2015,Dec,A7M,Archival,31,9,29.03225806,1,67.9
12/1/15,T2M,14.11330328,14.78361573,33.62668117,-0.01861979,0.52374538,9.550286738,2015,Dec,T2M,Archival,31,7,22.58064516,1,55.9
1/1/16,A2M,8.455351937,9.239782226,32.47291546,-0.032684597,0.536273921,9.82921147,2016,Jan,A2M,Archival,31,16,51.61290323,1,83.3
1/1/16,A7M,9.630572534,10.53392392,33.24593993,-0.025809677,0.536273921,9.835501792,2016,Jan,A7M,Archival,31,17,54.83870968,1,67.9
1/1/16,T2M,10.67814667,11.38821857,33.71161319,-0.019724219,0.536273921,9.835448029,2016,Jan,T2M,Archival,31,16,51.61290323,1,55.9
2/1/16,A2M,5.613130944,6.19402269,32.06414114,-0.024203823,0.496502025,10.75555556,2016,Feb,A2M,Archival,28,17,60.71428571,1,83.3
2/1/16,A7M,6.548163745,7.346637434,32.85037505,-0.022813647,0.498801575,10.76579739,2016,Feb,A7M,Archival,28,18,64.28571429,1,67.9
2/1/16,T2M,7.80214262,8.189071962,33.44480228,-0.010748037,0.496502025,10.75911706,2016,Feb,T2M,Archival,28,14,50,1,55.9
3/1/16,A2M,7.076620164,6.851453397,31.31291679,0.00938195,0.531133933,11.98539427,2016,Mar,A2M,Archival,31,20,64.51612903,1,83.3
3/1/16,A7M,7.506704961,7.855230424,31.86355191,-0.009958387,0.531133933,11.98557348,2016,Mar,A7M,Archival,31,24,77.41935484,1,67.9
3/1/16,T2M,8.205086723,8.654552783,32.6640406,-0.012485168,0.531133933,11.98560036,2016,Mar,T2M,Archival,31,24,77.41935484,1,55.9
4/1/16,A2M,9.864124774,8.70233086,32.43416106,0.04840808,0.507164426,13.22828704,2016,Apr,A2M,Archival,30,1,3.333333333,1,83.3
4/1/16,A7M,9.657429314,8.550065502,32.79997908,0.031638667,0.507164426,13.22519444,2016,Apr,A7M,Archival,30,1,3.333333333,1,67.9
4/1/16,T2M,9.51174078,8.617273807,33.06739756,0.024846305,0.507164426,13.22515741,2016,Apr,T2M,Archival,30,3,10,1,55.9
5/1/16,A2M,13.53465354,11.06587152,31.44556175,0.102865918,0.50208248,14.27457885,2016,May,A2M,Archival,31,0,0,1,83.3
5/1/16,A7M,13.01375494,9.829459344,32.11430113,0.090980645,0.50208248,14.26852151,2016,May,A7M,Archival,31,0,0,1,67.9
5/1/16,T2M,12.68309562,9.417472931,32.70513602,0.090711741,0.50208248,14.2684767,2016,May,T2M,Archival,31,0,0,1,55.9
6/1/16,A2M,19.88070145,12.82276853,31.13389085,0.294080538,0.477959255,14.79647222,2016,Jun,A2M,Archival,30,0,0,1,83.3
6/1/16,A7M,19.95065505,11.69616464,31.48103269,0.235842,0.477959255,14.78887037,2016,Jun,A7M,Archival,30,0,0,1,67.9
6/1/16,T2M,19.69197114,11.564392,31.92821223,0.225766087,0.477959255,14.78893519,2016,Jun,T2M,Archival,30,0,0,1,55.9
