"period","Site","sst","bottom_temp","sss","stratification","phase","daylight_hours"
2014-11-03,"A2M",15.7642267771429,16.0801818028571,32.50984846,-0.0131647928571429,0.469902477848973,10.3985317460317
2014-11-03,"A7M",16.5357469828571,16.7597667157143,33.0366096485714,-0.0064,0.469902477848973,10.4031349206349
2014-11-03,"T2M",16.8924070085714,17.1128507328571,33.3366350457143,-0.00612343685714286,0.469902477848973,10.4031349206349
2014-11-10,"A2M",14.7564159128571,14.7664307185714,32.6408010214286,-0.000417283714285714,0.699847649129794,10.1661904761905
2014-11-10,"A7M",15.3772948128571,15.5147887642857,33.0567327228571,-0.00392571428571429,0.699847649129794,10.1714285714286
2014-11-10,"T2M",15.8836092285714,16.5583034228571,33.3646670757143,-0.0187415057142857,0.699847649129794,10.1715476190476
2014-11-17,"A2M",12.7427727828571,12.7957324985714,32.7187211171429,-0.00220665485714286,0.772299742831398,9.95829365079365
2014-11-17,"A7M",14.0166707728571,14.45777239,33.2740778242857,-0.0126028571428571,0.772299742831398,9.96420634920635
2014-11-17,"T2M",14.6144828785714,15.5472511542857,33.6108398428571,-0.0259102298571429,0.772299742831398,9.96420634920635
2014-11-24,"A2M",11.9899883257143,12.2405796057143,32.6406522471429,-0.0104413031428571,0.159670093978286,9.78130952380952
2014-11-24,"A7M",13.6597632014286,14.3612019657143,33.3657967714286,-0.0200428571428571,0.159670093978286,9.78777777777778
2014-11-24,"T2M",14.4461998271429,14.9359279357143,33.7575689042857,-0.0136035587142857,0.159670093978286,9.78765873015873
2014-12-01,"A2M",11.1662252971429,11.4982204428571,32.6442767557143,-0.0138331311428571,0.416487948757753,9.64138888888889
2014-12-01,"A7M",12.2647593371429,12.8126464585714,33.2522452214286,-0.0156528571428571,0.416487948757753,9.64821428571429
2014-12-01,"T2M",13.58144583,13.6066406771429,33.9044134971429,-0.000699856999999999,0.416487948757753,9.64813492063492
2014-12-08,"A2M",9.368189813,9.72492463185714,32.3909476128571,-0.0148639508571429,0.644979371761661,9.5443253968254
2014-12-08,"A7M",10.7671037428571,10.82042735,33.0154549757143,-0.00152428571428571,0.644979371761661,9.55138888888889
2014-12-08,"T2M",11.6098585114286,11.7422896785714,33.3187174114286,-0.00367864585714286,0.644979371761661,9.55134920634921
2014-12-15,"A2M",7.90737199785714,9.08031885985714,31.6255405957143,-0.0488727858571429,0.859661588965448,9.49448412698413
2014-12-15,"A7M",9.52427033,9.95180266185714,32.8149408614286,-0.0122157142857143,0.859661588965448,9.50174603174603
2014-12-15,"T2M",10.2025059305714,10.7744343614286,33.2491427842857,-0.015886901,0.859661588965448,9.50170634920635
2014-12-22,"A2M",7.81004101885714,8.53153760085714,31.4177262457143,-0.0300623575714286,0.248517796319236,9.49456349206349
2014-12-22,"A7M",8.79814147942857,9.50481850814286,32.3720430628571,-0.02019,0.248517796319236,9.50174603174603
2014-12-22,"T2M",10.1205436165714,9.98099149885714,33.30892454,0.00387644771428572,0.248517796319236,9.5018253968254
2014-12-29,"A2M",7.63237932728571,8.72497926457143,31.3504110071429,-0.0455249974285714,0.36243562988041,9.54448412698413
2014-12-29,"A7M",8.66718714571429,9.81277220585714,32.4601609371429,-0.0327314285714286,0.36243562988041,9.55162698412698
2014-12-29,"T2M",9.78098433428571,10.4649186828571,33.3284792228571,-0.0189981762857143,0.36243562988041,9.55166666666667
2015-01-05,"A2M",6.819098268,7.49836281371429,32.3518112728571,-0.0283026892857143,0.587770526508678,9.64222222222222
2015-01-05,"A7M",8.00246122914286,10.0166553764286,32.6755916057143,-0.05755,0.587770526508678,9.64900793650794
2015-01-05,"T2M",8.75089120871429,10.9971625471429,32.9467517328571,-0.0623964261428571,0.587770526508678,9.64900793650794
2015-01-12,"A2M",5.574603285,6.168391841,32.2422223785714,-0.0247411898571429,0.804895517225448,9.78325396825397
2015-01-12,"A7M",7.18768828257143,7.80592019228571,33.1335694457143,-0.0176642857142857,0.804895517225448,9.78960317460317
