"period","Site","sst","bottom_temp","sss","stratification","phase","daylight_hours"
2014-11-01,"A2M",13.8133509496429,13.9707311564286,32.6275057114286,-0.00655750864285714,0.525429990947113,10.0760813492063
2014-11-01,"A7M",14.8973689425,15.2733824589286,33.1833042417857,-0.0107428571428571,0.525429990947113,10.0816369047619
2014-11-01,"T2M",15.4591747357143,16.0385833114286,33.5174277171429,-0.0160946827857143,0.525429990947113,10.0816369047619
2014-12-01,"A2M",8.968042497,9.60706396996774,31.9576057309677,-0.0266258947419355,0.518263830797764,9.54173835125448
2014-12-01,"A7M",10.2101609637742,10.6702674439032,32.8165919396774,-0.0131458064516129,0.518263830797764,9.54883512544803
2014-12-01,"T2M",11.2646394240323,11.4152012168387,33.4304917867742,-0.00418227261290323,0.518263830797764,9.54881720430108
2015-01-01,"A2M",5.76821387187097,6.5391527146129,32.0835859854839,-0.0321224517741936,0.501074964117703,9.83517025089606
2015-01-01,"A7M",7.08490008693548,8.14176742477419,32.951557406129,-0.0301970967741935,0.501074964117703,9.84141577060932
2015-01-01,"T2M",8.10312843306452,9.03271253674193,33.4979863329032,-0.0258217806451613,0.501074964117703,9.84141577060932
2015-02-01,"A2M",2.37061007760714,2.79275562939286,32.3946647646429,-0.0175893981071429,0.528571627499621,10.7653571428571
2015-02-01,"A7M",3.69636716160714,4.05432621928571,33.2127926692857,-0.0102264285714286,0.528571627499621,10.7688888888889
2015-02-01,"T2M",4.89974080657143,5.08804577592857,33.6697255546429,-0.00523069503571429,0.528571627499621,10.7689484126984
2015-03-01,"A2M",3.15198704506452,3.06187668922581,31.6943272622581,0.00375459816129032,0.49475463057863,11.954623655914
2015-03-01,"A7M",3.98782394016129,4.023290165,32.8713039274194,-0.00101322580645161,0.49475463057863,11.9549910394265
2015-03-01,"T2M",5.24150121596774,5.2705706703871,33.7582504522581,-0.000807484838709678,0.49475463057863,11.9549462365591
2015-04-01,"A2M",7.6352002938,4.71225215586667,31.479647891,0.121789505733333,0.481377289938526,13.1993611111111
2015-04-01,"A7M",7.7912074884,5.64502268633333,32.067367872,0.0613193333333333,0.481377289938526,13.1963796296296
2015-04-01,"T2M",8.4257999099,6.66726355543333,32.5385218303333,0.0488482319666667,0.481377289938526,13.1963240740741
2015-05-01,"A2M",14.7998157014839,8.48425783687097,31.4479759577419,0.263148244419355,0.463011669680767,14.253835125448
2015-05-01,"A7M",14.8697826935161,7.97995564254839,31.7364172167742,0.196851935483871,0.463011669680767,14.2478405017921
2015-05-01,"T2M",14.7998498180645,8.12032611858064,32.0532296703226,0.185542325096774,0.463011669680767,14.2478494623656
2015-06-01,"A2M",20.3953921,13.2541543636667,31.8964564643333,0.297551572266667,0.482489778280043,14.7928611111111
2015-06-01,"A7M",20.675707817,11.5252578423333,32.1186321893333,0.261441,0.482489778280043,14.785287037037
2015-06-01,"T2M",20.907246845,10.5793031689667,32.4266362506667,0.2868873243,0.482489778280043,14.7853240740741
2015-07-01,"A2M",24.0520087212903,14.9044833032258,31.414287813871,0.381146892419355,0.499057524965694,14.5400716845878
2015-07-01,"A7M",24.4395193283871,12.7914651432258,31.5655352687097,0.332800967741935,0.499057524965694,14.5333064516129
2015-07-01,"T2M",24.8806103125806,11.5036524192581,31.9980096503226,0.371582163709677,0.499057524965694,14.533270609319
2015-08-01,"A2M",25.2493897317391,17.989487813913,32.5635193534783,0.302495913217391,0.514018814435354,13.7765700483092
2015-08-01,"A7M",25.6551009695294,14.1976072187059,32.5814541088235,0.327357058823529,0.495577002462365,13.6650130718954
2015-08-01,"T2M",25.8402473442353,12.0949643637647,32.4114005596471,0.381813416188235,0.495577002462365,13.6649836601307
