Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,device_type,percent_occurrence,period
6/15/15,T2M,22.88327599,10.13984612,32.32131059,0.353984163,0.302270427,14.82742063,Archival,14,1
6/29/15,A2M,22.88410541,13.27801493,31.10044806,0.40025377,0.623749446,14.74228175,Archival,0,1
6/29/15,A7M,23.30894225,11.25242594,31.31086254,0.344470714,0.623749446,14.73490079,Archival,0,1
6/29/15,T2M,23.77147838,9.904141699,31.96181761,0.385203797,0.623749446,14.73486111,Archival,0,1
7/13/15,A2M,24.64568806,15.14812299,31.49838816,0.395731878,0.393292861,14.48472222,Archival,0,1
7/13/15,A7M,24.84022304,13.01860121,31.7231057,0.337760714,0.393292861,14.47811508,Archival,7,1
7/13/15,T2M,25.35866288,11.83405433,32.03146485,0.375683571,0.393292861,14.47811508,Archival,7,1
7/27/15,A2M,25.44406632,19.46500472,32.46324321,0.249127567,0.575807692,14.09724206,Archival,7,1
7/27/15,A7M,25.94643375,17.10526112,32.52584212,0.252602857,0.575807692,14.09180556,Archival,0,1
7/27/15,T2M,26.13596903,15.48870107,32.50643049,0.295757443,0.575807692,14.09180556,Archival,0,1
8/10/15,A2M,24.98048415,16.39995214,32.40553311,0.357522167,0.414948779,13.62039683,Archival,0,1
8/10/15,A7M,25.42615754,12.81629508,32.48177283,0.360283571,0.414948779,13.61625,Archival,0,1
8/10/15,T2M,25.60713182,10.41355998,32.2804154,0.422043662,0.414948779,13.61619048,Archival,0,1
8/24/15,A7M,25.59011745,11.7681645,32.34074102,0.394913571,0.527208399,13.08579365,Archival,0,1
8/24/15,T2M,25.7213974,9.618557522,32.25680814,0.447301108,0.527208399,13.08581349,Archival,7,1
9/7/15,A2M,24.21951676,16.31678772,32.17758561,0.329280377,0.192434165,12.28166667,Archival,0,1
9/7/15,A7M,24.47471237,12.84303341,31.99565392,0.332332667,0.485422805,12.50939815,Archival,0,1
9/7/15,T2M,24.67813574,11.16384303,32.23942986,0.37539702,0.485422805,12.50942593,Archival,0,1
