"period","Site","sst","bottom_temp","sss","stratification","phase","daylight_hours"
2014-11-03,"A2M",15.260321345,15.4233062607143,32.5753247407143,-0.00679103828571429,0.584875063489384,10.2823611111111
2014-11-03,"A7M",15.9565208978571,16.13727774,33.0466711857143,-0.00516285714285714,0.584875063489384,10.2872817460317
2014-11-03,"T2M",16.3880081185714,16.8355770778571,33.3506510607143,-0.0124324712857143,0.584875063489384,10.2873412698413
2014-11-17,"A2M",12.3663805542857,12.5181560521429,32.6796866821429,-0.006323979,0.465984918404842,9.86980158730159
2014-11-17,"A7M",13.8382169871429,14.4094871778571,33.3199372978571,-0.0163228571428571,0.465984918404842,9.87599206349206
2014-11-17,"T2M",14.5303413528571,15.241589545,33.6842043735714,-0.0197568942857143,0.465984918404842,9.87593253968254
2014-12-01,"A2M",10.2672075550714,10.6115725373571,32.5176121842857,-0.014348541,0.530733660259707,9.59285714285714
2014-12-01,"A7M",11.51593154,11.8165369042857,33.1338500985714,-0.00858857142857143,0.530733660259707,9.59980158730159
2014-12-01,"T2M",12.5956521707143,12.6744651778571,33.6115654542857,-0.00218925142857143,0.530733660259707,9.59974206349206
2014-12-15,"A2M",7.85870650835714,8.80592823035714,31.5216334207143,-0.0394675717142857,0.554089692642342,9.49452380952381
2014-12-15,"A7M",9.16120590471429,9.728310585,32.5934919621429,-0.0162028571428571,0.554089692642342,9.50174603174603
2014-12-15,"T2M",10.1615247735714,10.3777129301429,33.2790336621429,-0.00600522664285715,0.554089692642342,9.50176587301587
2014-12-29,"A2M",7.22573879764286,8.11167103914286,31.85111114,-0.0369138433571429,0.475103078194544,9.59335317460318
2014-12-29,"A7M",8.33482418742857,9.91471379114286,32.5678762714286,-0.0451407142857143,0.475103078194544,9.60031746031746
2014-12-29,"T2M",9.2659377715,10.731040615,33.1376154778571,-0.0406973012142857,0.475103078194544,9.6003373015873
2015-01-12,"A2M",5.44761463578571,6.2032533715,32.105121885,-0.0314849473571429,0.572013386172834,9.87263888888889
2015-01-12,"A7M",6.93150377271429,7.71184567042857,33.0834377835714,-0.0222964285714286,0.572013386172834,9.87878968253968
2015-01-12,"T2M",8.07673876614286,8.63491463621429,33.7044552407143,-0.0155048852142857,0.572013386172834,9.87876984126984
